sample,lCu,lFe,lMn,lZn,lNi,lLi,lSr,lMg,lCa
root            ,2.4423470353692043,5.135798437050262,2.5726122302071057,1.5040773967762742,-0.6931471805599453,1.0296194171811581,2.028148247292285,8.083328608786376,8.511175119090675
stem            ,2.2407096892759584,4.61512051684126,2.9391619220655967,1.8562979903656263,1.308332819650179,-0.10536051565782628,1.4816045409242156,8.128585200374497,9.102755161296246
leaf            ,2.468099531471619,5.676753802268282,4.213607983048918,2.5416019934645457,1.62924053973028,1.1631508098056809,2.3702437414678603,9.033603193476129,10.285342795005159
flower          ,2.766319109226186,5.214935757608986,3.3978584803966405,2.9231615807191558,2.2300144001592104,0.8329091229351039,1.4816045409242156,8.157657015196472,9.588776807696428
herbs           ,2.322387720290225,5.393627546352362,3.7376696182833684,2.533696813957432,1.4586150226995167,1.0296194171811581,1.916922612182061,8.748304912379623,10.06475570013225
